Click #,Address
1,"West Jesmond, Newcastle upon Tyne, UK"
2,Address not found
3,Address not found
4,Address not found
5,Address not found
6,Filtered result
7,Address not found
8,Address not found
9,Address not found
10,Address not found
11,Address not found
12,Address not found
13,Address not found
14,Address not found
15,Filtered result
16,Address not found
17,Address not found
18,Supermarket
19,Filtered result
20,Address not found
21,Supermarket
22,Filtered result
23,Address not found
24,Address not found
25,Address not found
26,Address not found
27,Address not found
28,Address not found
29,Tire shop
30,Filtered result
31,Address not found
32,Address not found
33,Address not found
34,Address not found
35,Filtered result
36,Filtered result
37,Filtered result
38,Address not found
39,Supermarket
40,Address not found
41,Address not found
42,Address not found
43,Address not found
44,Address not found
45,Address not found
46,Address not found
47,Address not found
48,Address not found
49,Address not found
50,"This area
14°"
51,"This area
14°"
52,Address not found
